comp1;comp2;year;mat;value;priority;source;dqisgeo;dqistemp;dqismat;dqistech;dqisrel
Inflow1;Stock2;1993;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;1994;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;1995;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;1996;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;1997;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;1998;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;1999;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2000;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2001;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2002;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2003;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2004;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2005;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2006;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2007;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2008;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2009;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2010;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2011;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2012;Material1;rest;1;rest;1;1;3;2;2
Inflow1;Stock2;2013;Material1;rest;1;rest;1;1;3;2;2
