comp1;comp2;year;mat;value;priority;source;dqisgeo;dqistemp;dqismat;dqistech;dqisrel
Stock2;Sink3;1993;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;1994;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;1995;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;1996;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;1997;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;1998;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;1999;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2000;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2001;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2002;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2003;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2004;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2005;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2006;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2007;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2008;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2009;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2010;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2011;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2012;Material1;rest;1;rest;1;1;1;1;1
Stock2;Sink3;2013;Material1;rest;1;rest;1;1;1;1;1
